Tweet_text,Sentiment,topic
"Biden: ""Let’s use this moment to reset. Let’s stop looking at COVID-19 as a partisan dividing line and see it for what it is:?A?God-awful disease.??
??
Let’s stop seeing each other as enemies,?and start seeing each other for who we really are:?Fellow Americans."" #SOTU",Positive,Others
"Today is very odd.  Since the christianist CEO (who has had COVID twice) has decided that today is the day that everyone needs to be back in the office since early December (when we had several outbreaks), seeing a full parking lot and office has me a bit freaked out.",Negative,Policies
covid and lockdowns really made me hate crowded places,Negative,Policies
The vaccine does not stop the spread of Covid you moronic liberal idiots!,Negative,Vaccination & Treatments
"And now I guess covid is officially over. Even in Manhattan today, less people were masking",Positive,Policies
"The people who scream ""racism"" ""xenophobia"" when anyone dare mention Chinese role in Covid or human rights violations are the very same people now frothing at the mouth abusing ordinary Russians &amp; banning their sports teams from the world stage

You people are full of shit",Negative,Others
Will Bidumb be testing positive for Covid this evening?,Neutral,Health condition
.@SenRubioPress doesn’t want to go to the State of the Union Address of @JoeBiden cuz he is not really “Banned in and Sanctioned by China” and he doesn’t really want a Covid Virus Investigation in America that would prove the Chinese had a lot to do with it. He doesn’t have time.,Neutral,Others
The people who are terrified of Covid-19 have no idea what awaits them in a time of war.,Neutral,Others
"Covid tyranny and abuse 
then
pushing for WW3 to fight the same reasons they implemented medical tyranny is all “do-gooder.”

“For the common good” is the side that gets to decide what is “good.”",Negative,Others
My dad is in the hospital in icu I drove from AZ to Cali and I can’t go in to see him with my step mom who has a hard time walking. I am so sick of fricken Covid theater.,Negative,Health condition
There is no reason why Covid-19 should dominate our lives because this administration has made it their priority to fight the virus with everything at its disposal. #SOTU #SOTU2022 @MontclairDems,Neutral,Policies
this covid thing is not getting better,Negative,Trends
Biden spent over $3 trillion in taxpayer dollars last year in the name of 'COVID relief' and 'infrastructure.' Americans do not want his socialist 'Build Back Broke' plan. #SOTU,Neutral,Policies
"If they've been lying for the duration of this plandemic about any and everything covid related,

how can people be so quick to believe the vaccine data hasn't been altered?

What's compelling all this new-found transparency?

#puzzling
#notpuzzling",Negative,Vaccination & Treatments
"covid has ripped the public health system &amp; many people are leaving their employers because of how overwhelmed the work is and the lack of support and recognition. More Human Resources are required at a hospital, managerial and policy level and none of this is being managed.",Negative,Trends
"Good News:  Covid seems to be over.

Bad News: @LoriLightfoot is still mayor of Chicago.",Negative,Trends
Perhaps not a great sign for today's case numbers that the covid tracing form keeps crashing for me,Positive,Trends
One of my first covid patients died this week. He was 46. Spent 1 year in rehabilitation. Got out in September and died this week. Maaan covid sucks.,Negative,Health condition
"The Greatest Generation stormed the beach at Normandy.
The Worst Generation won't even take a #COVID test to attend the #SOTU",Negative,Policies
IT'S RAINING SO MUCH AND I ALREADY FEEL LIKE I'VE GOT COVID AGAIN-,Negative,Health condition
Our Covid test kits showed up in today's mail.,Neutral,Others
"FWIW, it took a month for my free government Covid tests to arrive. We need the FDA to approve more tests - not a government bureaucracy to deliver them for “free.” #SOTU",Positive,Policies
The vaccine has never stopped the spread of Covid. I don't know what Joe is talking about.  I don't think he does either.  #SOTU,Negative,Vaccination & Treatments
Americans can order more FREE covid tests starting next week.,Neutral,Policies
Biden says COVID is over,Neutral,Trends
"I found the speech really depressing. Don’t know what I expected. I think I was hoping Jill would get up and apologize for Joe running, and Afghanistan, and the lies, lies, lies about covid. Sorry for splitting America. Happy #SOTU",Negative,Others
"TFW you send two years worrying that your mum with a crappy immune system is gonna get Covid and instead she's diagnosed with terminal liver cancer. Touché, universe. Touché.",Negative,Health condition
"It's disturbing how many ppl are still ignorant about the vaccine. ""So n so was vaccinated and still got covid."" ""I got covid and symptoms were mild."" The point of vaccination is to prevent ppl being admitted to the hospital and overwhelming the healthcare system.",Negative,Vaccination & Treatments
Hey #TravellersOfTwitter! I have a trip coming up within 1-2 months. Going from DCA to NRT to Philippines. PH says negative COVID test within 48 hrs. US says negative COVID test no more than day. Could I present a negative COVID test within 48 hrs for US?,Neutral,Policies
"No single policy the Democrats &amp; the #FakePresident have pursued has worked over the past 2 years -which is why #TrumpWon in 2020

-#DefundThePolice failed.
-#Russia
-COVID lockdowns and masks
-Withdrawal from Afghanistan
-#BidenBorderCrisis  
-Energy policy
#SOTUinCrisis",Negative,Policies
And now with out covid you want to put our children in the line of fire for what reason you failed the first time that when we trained Afghan soldiers to shoot red eye and stinger missiles at white sands missiles range but I know nothing I’m just a dirt farmer who just puts seeds,Negative,Others
"*UK, Switzerland, Scandinavia drop Covid restrictions*

US socialists: If we had universal healthcare, no one would be pissed about wearing masks",Neutral,Policies
"Kenya Kwanza
MP OSCAR Sudi fails to appear in Nairobi court for hearing of education certificate forgery case; says he contracted Covid-19.",Neutral,Health condition
"In what some are calling a “major gaffe”, Kamala Harris called for COVID earplugs and blindfolds, in addition to masks.
#Kamala quickly backtracked on her statement saying she has plenty of blind, deaf, and dumb friends, and that all of them are double-vaccinated and boosted.",Negative,Policies
6 million COVID-19 deaths worldwide &amp; all of a sudden its gone. The media found a new play thing.,Negative,Trends
"Bruh, there's COVID pills?",Neutral,Vaccination & Treatments
Gripe o covid?,Neutral,Others
"I can summarise Alex @BorisJohnson plan for 'living' with #COVID 

1. He does not care if you die from it.

#ToryCovidCatastrophe
#BorisJohnsonOut
#ToryCriminals 
#ToryLies",Negative,Policies
"RepubliQans have no popular policies to run on (it's a Trump cult of grievance) so @marcmolinaro attacks &amp; lies.

Inflation? Unlike the '70s, it's supply chain &amp; Ukraine related &amp; would be WORSE under ""Covid hoax"" Trump.

Less safe? Murders up 30% from '19 to '20 under Trump &amp; up",Negative,Trends
"I can't wait for this dumb speech to be over. Tired of hearing the kids in school BS after the way they made them go at times they shouldn't have, so they could go home and infect older people. Also the number of kids that died. So much dishonesty around kids &amp; COVID.",Negative,Policies
I believe people didn't show up and too many didn't care. Covid worked.,Negative,Others
"""If you have covid, one of us will get fired.""",Negative,Others
I may have lost my sense of smell thanks to covid but I promise you I can still sense bullshit from a mile away,Negative,Health condition
He has to talk about Ukraine because he has nothing else. Not even COVID. #StateOfTheUnion,Negative,Others
The covid regulations are having a negative impact on the income generated by artists. @NathiMthethwaSA is failing the entertainment industry. He should have been advocating for the total abolishment of the regulations in order to secure the livelihoods for artists.,Negative,Policies
